Customer_ID;recency;frequency;monetary;R_score;F_score;M_score
1.0;788;1;1950.00;1;1;4
2.0;665;1;510.00;1;1;1
3.0;484;1;7430.00;3;1;4
4.0;27;5;2567596.45;4;3;4
5.0;788;1;1110.00;1;1;4
6.0;788;1;250.00;1;1;1
7.0;514;1;105.00;2;1;1
8.0;788;1;192998.00;1;1;4
9.0;788;1;5500.00;1;1;4
10.0;788;1;732.00;1;1;1
11.0;573;3;4595.00;3;2;1
12.0;665;1;3783.00;2;1;4
13.0;604;5;616965.30;2;3;4
14.0;484;1;12921.75;3;1;4
15.0;239;3;151622.93;4;2;4
16.0;331;5;2317522.46;3;3;4
17.0;788;1;7652.00;1;1;4
18.0;788;1;3000.00;1;1;4
19.0;665;1;5726.00;1;1;4
20.0;27;8;4356126.38;4;4;4
